VALUE_ID|COA_VALUE|CODE_DESC
316116|026541|"Penskeps Head Office"
316129|029373|"Perpetual - Head Office"
316137|032425|"Perth Theatre Trust - Head Office"
316148|032422|"Peter Warren Automotive - Head Office"
316207|031060|"Platinum FM Head Office"
316211|010092|"Plenary Asset Management - Head Office"
316226|027198|"Pool Systems - Head Office"
316287|026624|"Raine&Horne Commercial Head Office"
316291|026404|"Ramsay Health - Head Office"
316364|032424|"Rocla Pipeline - Head Office"
316383|014729|"Royal Australasian College Of Surgeons"
316395|026550|"RSL Head Office"
316414|026555|"RWC Head Office"
316427|027112|"SA Housing Authority - Head Office : Government of South Australia"
316439|026806|"Salmon Earth Moving"
316441|027354|"Salvation Army - Head Office"
316448|029379|"Sancus Property - Head Office"
316464|029115|"Sci-Blue - Head Office"
316480|026889|"Secom Security - Head Office"
316504|032437|"Southern Cross Protection Darling Downs - Head Office"
316632|026482|"Stratco Head Office"
316637|026116|"Subaru Head Office"
316640|013976|"Sugar Australia Head Office"
316643|026146|"Summit Head Office"
316663|031231|"Sydney Catholic Schools Head Office"
316673|026669|"Taplin Head Office"
316692|026535|"Teco Head Office"
316739|027167|"The Body Corporate, Springfield Lakes Village - Head Office"
316746|030056|"The Good Guys - Head Office"
316775|026832|"Tilling Timber Head Office"
316797|027196|"Zimmer Biomet Pty Ltd"
316977|013751|"JB Hi-Fi - Head Office : JB HiFi (WA)"
316980|026628|"RCTC Melbourne Head Office"
317010|026142|"Prosegur Head Office"
317013|032495|"Protecsys Pty Ltd Head office"
317043|026638|"Puma Head Office"
317063|026533|"QBWSA Trading as Seqwater"
317084|026479|"QCCS Head Office"
317095|026100|"QED AM Head Office"
317151|028652|"Queensland Department of Health Head Office : SCHHS Health"
317157|032423|"Queensland Rugby Union - Head Office"
317165|027542|"Queensland Xray - Head Office"
317175|032446|"RAC - Head Office"
317222|026108|"Ray White Head Office"
317239|026104|"REGIS Head Office"
317263|028261|"Rice Daubney - Head Office"
317271|026878|"Rinnai Australia - Head Office"
317408|032428|"Samaras Structural Engineers - Head Office : Sarina Investments Pty Ltd - Head Office"
317409|032426|"Samaras Structural Engineers - Head Office"
317440|026453|"SCA Head Office"
317484|013423|"Secure Parking Pty Ltd"
317508|027771|"Security 1 Pty Ltd - Head Office"
317514|027346|"Security Workforce Solutions Pty Ltd"
317517|026891|"SEE Civil - Head Office"
317559|026122|"SGS Head Office"
317591|032509|"Shipley Smash Repairs Head office"
317611|023112|"Sibelco Australia"
317614|026877|"Siemens HEAD OFFICE"
317625|013755|"Sims Metal"
317631|032440|"Sinclair Hyundai - Head Office"
317651|026888|"Smc Pneumatics Head Office"
317669|026136|"SNP Head Office"
317720|026141|"Southern Cross Care Head Office"
317739|026593|"Southern NSW Head Office"
317767|031427|"Spence Doors - Head Office"
317825|027033|"Squiz - Head Office"
317868|027079|"St Mary Mackillop - Head Office"
317890|026928|"Starworks Enterprises Pty Ltd - Head Office"
317900|027675|"Staysafe Security Pty Ltd - Head office"
317905|026831|"Steel Mains Head Office"
317935|032444|"Storageworks - Head Office"
317949|026858|"Stramit Building Products - Head Office"
317958|029269|"Strata Data - Head Office"
318054|031394|"Surftoyota head office"
318085|026660|"T&C Services Head Office"
318165|027140|"Tesla Motors Head Office"
318252|027393|"The Owners of 3 Ord St West Perth"
318421|021974|"The Vicus Group - Head Office"
318456|027243|"Threat Protect - Head Office"
318483|026905|"Titanium Security - Head Office"
318504|026751|"Toll Head Office"
318570|026427|"Tri Tech Head Office"
318576|029707|"Tricorp Service - Head Office"
318588|028648|"Tru Blu - Head Office"
318603|026917|"Trust Company - Head Office"
318618|028551|"Tuff Security - Head Office"
318627|032439|"Tutt Bryant Hire - Head Office"
318658|026614|"UGL Head Office"
318690|029095|"Ulverstone Secondary College HO"
318693|032443|"Uni-Span - Head Office"
318702|029716|"Unilodge - Head Office"
318711|026440|"Uniting Head Office"
318729|032438|"Urban Turf Solutions - Head Office"
318735|027107|"USG Boral - Head Office"
318747|026932|"Valvoline - Head Office"
318756|026445|"Vantage Hotel Group"
318782|026463|"Veolia Head Office"
318794|026518|"Vermeer Head Office"
318812|032554|"VIATEK TECHNOLOGY -Head Office"
318830|029127|"Victorian Protection Security Services HO"
318846|032448|"Vinidex Pty Limited - Head Office"
318858|026123|"VIP Packaging Head Office"
318867|028698|"Virginia Park Property Group - Head Office"
318876|026729|"Viscount Head Office"
318885|013230|"Visium Networks Pty Ltd - Head Office"
318894|026098|"Viva Energy Head Office"
318959|027433|"Weatherford Laboratories - Head Office"
318968|021409|"Webbing Industries Aust P/L - Head Office"
318980|026135|"WEIR Head Office"
319024|026090|"Whiddon Group"
319030|029144|"Whitmore Property - Head Office"
319039|026566|"Whittles Head Office"
319069|027162|"Willcom Property Group - Head Office"
319087|027053|"Wilson Security Head Office"
319114|032449|"Wirtgen Australia Pty Ltd - Head Office"
319160|026605|"Xchanging - Head Office"
319195|027838|"Yates Security Pty Ltd - Head Office"
319481|013752|"JB Hi-Fi - Head Office : JB HiFi (VIC)"
319482|013754|"JB Hi-Fi - Head Office : JB HiFi (NSW)"
319490|013753|"JB Hi-Fi - Head Office : JB HiFi (QLD)"
319492|013750|"JB Hi-Fi - Head Office : JB HiFi (SA)"
320177|029015|"One Agency Collins Real Estate -Head Office"
320262|026834|"Mantra Head Office"
320296|023001|"St Saviours Anglicare"
320302|032562|"Chatswood Golf Club - Head Office"
320308|032561|"Caritas - Head Office"
320386|026670|"The Big Issue Head Office"
320402|028409|"Susquehanna Pacific - Head Office"
320433|026657|"International SOS"
320441|032442|"Strata Title Management - Head Office"
320446|026430|"Hudson Head Office"
320476|031431|"Fred Hollows Foundation - Head Office"
320565|026916|"Carroll O'Dea - Head Office"
320590|027113|"Biosis Pty Ltd - Head Office"
320642|028415|"St Michaels School HO"
321027|026735|"Hill Street Head Office"
321052|027291|"Air Liquide - Head Office"
321166|027181|"World Mark HO"
321183|026798|"Stryker - Head Office"
321290|026629|"Ross Residence Head Office"
321317|027102|"Roadworx Group - Head Office"
321381|027314|"Planit Head Office"
321413|026649|"Hartmann Head Office"
321619|027080|"Life Health Care HO"
321628|032567|"Lester Residence - Head Office"
321675|027211|"Jost Australia - Head Office"
321767|024756|"G8 EDUCATION"
322025|032574|"AM Pty Ltd - Head Office"
322040|026818|"3P Learning - Head Office"
322061|026929|"Casama Group - Head Office"
322066|026827|"Gloria Jeans - Head Office"
322070|027293|"Acon Health - Head Office"
322108|026847|"GP Synergy Limited Head Office"
322234|029712|"CAVS Monitoring - Head Office"
322267|028719|"Mc Donald's - Head Office"
